TIME,T,RRR
20.12.2023 14:00,-0.6,No precipitation
20.12.2023 11:00,-3.6,No precipitation
20.12.2023 08:00,-6.4,No precipitation
20.12.2023 05:00,-5.6,No precipitation
20.12.2023 02:00,-5.3,No precipitation
19.12.2023 23:00,-4.5,No precipitation
19.12.2023 20:00,-2.8,No precipitation
19.12.2023 17:00,-0.5,No precipitation
19.12.2023 14:00,2.7,No precipitation
19.12.2023 11:00,1.6,No precipitation
19.12.2023 08:00,-5.2,No precipitation
19.12.2023 05:00,-4.3,No precipitation
19.12.2023 02:00,-2.3,No precipitation
18.12.2023 23:00,-1.9,No precipitation
18.12.2023 20:00,-1.2,No precipitation
18.12.2023 17:00,-0.1,No precipitation
18.12.2023 14:00,0.2,No precipitation
18.12.2023 11:00,-1.3,No precipitation
18.12.2023 08:00,-1.9,No precipitation
18.12.2023 05:00,-2.0,No precipitation
18.12.2023 02:00,-1.8,No precipitation
17.12.2023 23:00,-1.7,No precipitation
17.12.2023 20:00,-2.0,No precipitation
17.12.2023 17:00,-1.5,No precipitation
17.12.2023 14:00,-1.3,No precipitation
17.12.2023 11:00,-1.2,No precipitation
17.12.2023 08:00,-5.7,No precipitation
17.12.2023 05:00,-5.6,No precipitation
17.12.2023 02:00,-3.8,No precipitation
16.12.2023 23:00,-3.0,No precipitation
16.12.2023 20:00,-1.6,No precipitation
16.12.2023 17:00,-1.1,No precipitation
16.12.2023 14:00,-1.0,No precipitation
16.12.2023 11:00,-2.1,No precipitation
16.12.2023 08:00,-3.7,No precipitation
16.12.2023 05:00,-2.9,No precipitation
16.12.2023 02:00,-2.6,No precipitation
15.12.2023 23:00,-2.2,Trace of precipitation
15.12.2023 20:00,-0.8,Trace of precipitation
15.12.2023 17:00,-0.8,Trace of precipitation
15.12.2023 14:00,-0.4,No precipitation
15.12.2023 11:00,-0.8,No precipitation
15.12.2023 08:00,-1.8,No precipitation
15.12.2023 05:00,-1.0,1
15.12.2023 02:00,-0.1,4
14.12.2023 23:00,0.6,8
14.12.2023 20:00,1.0,8
14.12.2023 17:00,0.7,7
14.12.2023 14:00,0.6,4
14.12.2023 11:00,0.2,0.2
14.12.2023 08:00,-0.4,Trace of precipitation
14.12.2023 05:00,-0.4,Trace of precipitation
14.12.2023 02:00,-0.5,Trace of precipitation
13.12.2023 23:00,-0.3,0.1
13.12.2023 20:00,-0.3,0.1
13.12.2023 17:00,-0.4,0.1
13.12.2023 14:00,-0.6,0.3
13.12.2023 11:00,-0.6,No precipitation
13.12.2023 08:00,-0.3,0.2
13.12.2023 05:00,-0.5,0.2
13.12.2023 02:00,-0.9,No precipitation
12.12.2023 23:00,0.1,No precipitation
12.12.2023 20:00,0.9,No precipitation
12.12.2023 17:00,1.2,No precipitation
12.12.2023 14:00,1.2,No precipitation
12.12.2023 11:00,0.1,No precipitation
12.12.2023 08:00,-1.2,No precipitation
12.12.2023 05:00,-1.1,No precipitation
12.12.2023 02:00,-0.3,No precipitation
11.12.2023 23:00,-0.4,No precipitation
11.12.2023 20:00,-0.1,
11.12.2023 17:00,-0.3,No precipitation
11.12.2023 14:00,0.4,7
11.12.2023 11:00,-0.4,14
11.12.2023 08:00,-1.3,16
11.12.2023 05:00,-1.9,14
11.12.2023 02:00,-0.7,11
10.12.2023 23:00,0.0,3
10.12.2023 20:00,1.9,5
10.12.2023 17:00,1.5,7
10.12.2023 14:00,2.0,7
10.12.2023 11:00,3.0,7
10.12.2023 08:00,3.6,2
10.12.2023 05:00,5.1,No precipitation
10.12.2023 02:00,6.7,No precipitation
09.12.2023 23:00,7.8,No precipitation
09.12.2023 20:00,7.4,No precipitation
09.12.2023 17:00,9.2,No precipitation
09.12.2023 14:00,12.7,No precipitation
09.12.2023 11:00,12.9,No precipitation
09.12.2023 08:00,8.1,No precipitation
09.12.2023 05:00,4.6,No precipitation
09.12.2023 02:00,6.0,No precipitation
08.12.2023 23:00,7.4,No precipitation
08.12.2023 20:00,10.6,No precipitation
08.12.2023 17:00,20.2,No precipitation
08.12.2023 14:00,26.6,No precipitation
08.12.2023 11:00,20.9,No precipitation
08.12.2023 08:00,6.2,No precipitation
08.12.2023 05:00,5.2,No precipitation
08.12.2023 02:00,6.7,No precipitation
07.12.2023 23:00,10.3,No precipitation
07.12.2023 20:00,16.1,No precipitation
07.12.2023 17:00,20.2,No precipitation
07.12.2023 14:00,24.7,No precipitation
07.12.2023 11:00,17.3,No precipitation
07.12.2023 08:00,2.9,No precipitation
07.12.2023 05:00,3.0,No precipitation
07.12.2023 02:00,5.7,No precipitation
06.12.2023 23:00,5.8,No precipitation
06.12.2023 20:00,7.5,No precipitation
06.12.2023 17:00,15.6,No precipitation
06.12.2023 14:00,16.1,No precipitation
06.12.2023 11:00,13.6,No precipitation
06.12.2023 08:00,11.0,No precipitation
06.12.2023 05:00,12.2,No precipitation
06.12.2023 02:00,14.4,No precipitation
05.12.2023 23:00,16.1,No precipitation
05.12.2023 20:00,17.1,No precipitation
05.12.2023 17:00,16.9,No precipitation
05.12.2023 14:00,19.9,No precipitation
05.12.2023 11:00,14.7,No precipitation
05.12.2023 08:00,1.5,No precipitation
05.12.2023 05:00,1.5,No precipitation
05.12.2023 02:00,3.1,No precipitation
04.12.2023 23:00,4.5,No precipitation
04.12.2023 20:00,6.9,No precipitation
04.12.2023 17:00,17.3,No precipitation
04.12.2023 14:00,18.8,No precipitation
04.12.2023 11:00,15.3,No precipitation
04.12.2023 08:00,0.2,No precipitation
04.12.2023 05:00,0.1,No precipitation
04.12.2023 02:00,1.7,No precipitation
03.12.2023 23:00,2.5,No precipitation
03.12.2023 20:00,8.6,No precipitation
03.12.2023 17:00,11.4,No precipitation
03.12.2023 14:00,13.3,No precipitation
03.12.2023 11:00,10.0,No precipitation
03.12.2023 08:00,-2.7,No precipitation
03.12.2023 05:00,-2.9,No precipitation
03.12.2023 02:00,-1.7,No precipitation
02.12.2023 23:00,-0.2,No precipitation
02.12.2023 20:00,1.9,No precipitation
02.12.2023 17:00,10.9,No precipitation
02.12.2023 14:00,12.6,No precipitation
02.12.2023 11:00,10.6,No precipitation
02.12.2023 08:00,-2.0,No precipitation
02.12.2023 05:00,-2.4,No precipitation
02.12.2023 02:00,-2.9,No precipitation
01.12.2023 23:00,-1.2,No precipitation
01.12.2023 20:00,1.3,No precipitation
01.12.2023 17:00,9.3,No precipitation
01.12.2023 14:00,9.7,No precipitation
01.12.2023 11:00,7.2,No precipitation
01.12.2023 08:00,0.0,No precipitation
01.12.2023 05:00,3.7,No precipitation
01.12.2023 02:00,4.1,No precipitation
30.11.2023 23:00,3.7,No precipitation
30.11.2023 20:00,0.9,No precipitation
30.11.2023 17:00,7.8,No precipitation
30.11.2023 14:00,7.9,No precipitation
30.11.2023 11:00,5.2,No precipitation
30.11.2023 08:00,-1.2,No precipitation
30.11.2023 05:00,-2.2,No precipitation
30.11.2023 02:00,-2.3,No precipitation
29.11.2023 23:00,1.3,No precipitation
29.11.2023 20:00,3.4,No precipitation
29.11.2023 17:00,4.6,No precipitation
29.11.2023 14:00,5.3,No precipitation
29.11.2023 11:00,4.8,No precipitation
29.11.2023 08:00,5.5,No precipitation
29.11.2023 05:00,7.0,No precipitation
29.11.2023 02:00,5.2,No precipitation
28.11.2023 23:00,5.6,No precipitation
28.11.2023 20:00,5.5,No precipitation
28.11.2023 17:00,11.8,No precipitation
28.11.2023 14:00,12.9,No precipitation
28.11.2023 11:00,10.6,No precipitation
28.11.2023 08:00,1.6,No precipitation
28.11.2023 05:00,3.2,No precipitation
28.11.2023 02:00,3.7,No precipitation
27.11.2023 23:00,5.9,No precipitation
27.11.2023 20:00,9.3,No precipitation
27.11.2023 17:00,17.1,No precipitation
27.11.2023 14:00,18.6,No precipitation
27.11.2023 11:00,16.6,No precipitation
27.11.2023 08:00,3.9,No precipitation
27.11.2023 05:00,3.0,No precipitation
27.11.2023 02:00,2.6,No precipitation
26.11.2023 23:00,3.6,No precipitation
26.11.2023 20:00,5.1,No precipitation
26.11.2023 17:00,11.4,No precipitation
26.11.2023 14:00,13.8,No precipitation
26.11.2023 11:00,9.0,No precipitation
26.11.2023 08:00,-0.2,No precipitation
26.11.2023 05:00,-0.3,0.4
26.11.2023 02:00,2.3,0.7
25.11.2023 23:00,3.3,1
25.11.2023 20:00,3.6,1
25.11.2023 17:00,2.6,0.6
25.11.2023 14:00,3.0,0.3
25.11.2023 11:00,4.6,No precipitation
25.11.2023 08:00,4.1,No precipitation
25.11.2023 05:00,3.9,No precipitation
25.11.2023 02:00,4.6,No precipitation
24.11.2023 23:00,4.8,No precipitation
24.11.2023 20:00,5.5,No precipitation
24.11.2023 17:00,5.7,No precipitation
24.11.2023 14:00,6.2,No precipitation
24.11.2023 11:00,5.2,No precipitation
24.11.2023 08:00,2.4,No precipitation
24.11.2023 05:00,2.2,No precipitation
24.11.2023 02:00,3.2,No precipitation
23.11.2023 23:00,4.9,No precipitation
23.11.2023 20:00,8.0,No precipitation
23.11.2023 17:00,11.3,No precipitation
23.11.2023 14:00,11.8,No precipitation
23.11.2023 11:00,10.3,No precipitation
23.11.2023 08:00,9.8,No precipitation
23.11.2023 05:00,12.8,No precipitation
23.11.2023 02:00,14.1,No precipitation
22.11.2023 23:00,15.9,No precipitation
22.11.2023 20:00,12.2,No precipitation
22.11.2023 17:00,19.7,No precipitation
22.11.2023 14:00,20.7,No precipitation
22.11.2023 11:00,18.9,No precipitation
22.11.2023 08:00,17.0,No precipitation
22.11.2023 05:00,16.4,No precipitation
22.11.2023 02:00,10.9,No precipitation
21.11.2023 23:00,13.2,No precipitation
21.11.2023 20:00,12.3,No precipitation
21.11.2023 17:00,18.5,No precipitation
21.11.2023 14:00,20.5,No precipitation
21.11.2023 11:00,17.2,No precipitation
21.11.2023 08:00,5.5,No precipitation
21.11.2023 05:00,4.9,No precipitation
21.11.2023 02:00,5.8,No precipitation
20.11.2023 23:00,7.1,No precipitation
20.11.2023 20:00,8.9,No precipitation
20.11.2023 17:00,17.1,No precipitation
20.11.2023 14:00,18.5,No precipitation
20.11.2023 11:00,14.9,No precipitation
20.11.2023 08:00,2.9,No precipitation
20.11.2023 05:00,2.6,No precipitation
20.11.2023 02:00,3.7,No precipitation
19.11.2023 23:00,5.5,No precipitation
19.11.2023 20:00,7.5,No precipitation
19.11.2023 17:00,17.9,No precipitation
19.11.2023 14:00,20.7,No precipitation
19.11.2023 11:00,18.6,No precipitation
19.11.2023 08:00,11.3,No precipitation
19.11.2023 05:00,8.4,No precipitation
19.11.2023 02:00,5.3,No precipitation
18.11.2023 23:00,7.6,No precipitation
18.11.2023 20:00,14.7,No precipitation
18.11.2023 17:00,18.2,No precipitation
18.11.2023 14:00,19.1,No precipitation
18.11.2023 11:00,13.4,No precipitation
18.11.2023 08:00,3.4,No precipitation
18.11.2023 05:00,2.5,No precipitation
18.11.2023 02:00,2.9,No precipitation
17.11.2023 23:00,4.6,No precipitation
17.11.2023 20:00,6.8,No precipitation
17.11.2023 17:00,16.2,No precipitation
17.11.2023 14:00,16.5,No precipitation
17.11.2023 11:00,14.3,No precipitation
17.11.2023 08:00,10.2,No precipitation
17.11.2023 05:00,11.6,No precipitation
17.11.2023 02:00,8.6,No precipitation
16.11.2023 23:00,11.2,No precipitation
16.11.2023 20:00,11.1,No precipitation
16.11.2023 17:00,13.0,No precipitation
16.11.2023 14:00,13.6,No precipitation
16.11.2023 11:00,11.5,No precipitation
16.11.2023 08:00,9.2,No precipitation
16.11.2023 05:00,10.0,Trace of precipitation
16.11.2023 02:00,11.1,Trace of precipitation
15.11.2023 23:00,12.3,Trace of precipitation
15.11.2023 20:00,13.2,No precipitation
15.11.2023 17:00,12.3,No precipitation
15.11.2023 14:00,13.9,No precipitation
15.11.2023 11:00,12.2,No precipitation
15.11.2023 08:00,4.9,No precipitation
15.11.2023 05:00,3.0,No precipitation
15.11.2023 02:00,2.6,No precipitation
14.11.2023 23:00,3.7,No precipitation
14.11.2023 20:00,5.8,No precipitation
14.11.2023 17:00,13.5,No precipitation
14.11.2023 14:00,15.3,No precipitation
14.11.2023 11:00,11.3,No precipitation
14.11.2023 08:00,1.6,No precipitation
14.11.2023 05:00,0.0,No precipitation
14.11.2023 02:00,1.3,No precipitation
13.11.2023 23:00,3.8,No precipitation
13.11.2023 20:00,6.8,No precipitation
13.11.2023 17:00,9.0,No precipitation
13.11.2023 14:00,10.3,No precipitation
13.11.2023 11:00,8.3,No precipitation
13.11.2023 08:00,5.3,No precipitation
13.11.2023 05:00,3.8,No precipitation
13.11.2023 02:00,4.4,No precipitation
12.11.2023 23:00,3.9,No precipitation
12.11.2023 20:00,6.5,No precipitation
12.11.2023 17:00,9.2,No precipitation
12.11.2023 14:00,11.6,No precipitation
12.11.2023 11:00,9.8,No precipitation
12.11.2023 08:00,-0.2,No precipitation
12.11.2023 05:00,-0.7,No precipitation
12.11.2023 02:00,0.3,No precipitation
11.11.2023 23:00,3.1,0.1
11.11.2023 20:00,3.5,0.1
11.11.2023 17:00,3.9,0.1
11.11.2023 14:00,2.8,0.1
11.11.2023 11:00,2.8,No precipitation
11.11.2023 08:00,2.2,0.1
11.11.2023 05:00,2.3,0.1
11.11.2023 02:00,2.2,0.1
10.11.2023 23:00,2.3,0.1
10.11.2023 20:00,4.8,No precipitation
10.11.2023 17:00,4.9,No precipitation
10.11.2023 14:00,5.5,No precipitation
10.11.2023 11:00,5.2,No precipitation
10.11.2023 08:00,5.3,No precipitation
10.11.2023 05:00,5.3,No precipitation
10.11.2023 02:00,6.2,No precipitation
09.11.2023 23:00,7.3,No precipitation
09.11.2023 20:00,9.3,No precipitation
09.11.2023 17:00,11.3,No precipitation
09.11.2023 14:00,12.8,No precipitation
09.11.2023 11:00,14.0,No precipitation
09.11.2023 08:00,11.8,No precipitation
09.11.2023 05:00,9.9,No precipitation
09.11.2023 02:00,10.6,No precipitation
08.11.2023 23:00,11.7,No precipitation
08.11.2023 20:00,12.9,No precipitation
08.11.2023 17:00,19.6,No precipitation
08.11.2023 14:00,20.9,No precipitation
08.11.2023 11:00,17.4,No precipitation
08.11.2023 08:00,10.1,No precipitation
08.11.2023 05:00,9.0,No precipitation
08.11.2023 02:00,9.4,No precipitation
07.11.2023 23:00,12.3,No precipitation
07.11.2023 20:00,15.7,No precipitation
07.11.2023 17:00,17.8,No precipitation
07.11.2023 14:00,18.1,No precipitation
07.11.2023 11:00,15.7,No precipitation
07.11.2023 08:00,6.9,No precipitation
07.11.2023 05:00,4.3,No precipitation
07.11.2023 02:00,4.2,No precipitation
06.11.2023 23:00,5.5,No precipitation
06.11.2023 20:00,8.1,No precipitation
06.11.2023 17:00,15.3,No precipitation
06.11.2023 14:00,14.6,No precipitation
06.11.2023 11:00,11.7,No precipitation
06.11.2023 08:00,8.8,No precipitation
06.11.2023 05:00,9.1,No precipitation
06.11.2023 02:00,10.2,0.1
05.11.2023 23:00,11.9,0.3
05.11.2023 20:00,14.0,4
05.11.2023 17:00,16.3,9
05.11.2023 14:00,13.8,16
05.11.2023 11:00,12.5,29
05.11.2023 08:00,12.0,30
05.11.2023 05:00,12.2,24
05.11.2023 02:00,14.0,17
04.11.2023 23:00,14.5,4
04.11.2023 20:00,15.2,No precipitation
04.11.2023 17:00,15.5,No precipitation
04.11.2023 14:00,16.1,No precipitation
04.11.2023 11:00,16.2,No precipitation
04.11.2023 08:00,14.8,No precipitation
04.11.2023 05:00,15.2,No precipitation
04.11.2023 02:00,15.2,0.9
03.11.2023 23:00,14.2,0.9
03.11.2023 20:00,14.4,0.9
03.11.2023 17:00,14.3,0.9
03.11.2023 14:00,18.3,No precipitation
03.11.2023 11:00,19.4,No precipitation
03.11.2023 08:00,19.1,No precipitation
03.11.2023 05:00,20.3,No precipitation
03.11.2023 02:00,22.3,No precipitation
02.11.2023 23:00,24.4,No precipitation
02.11.2023 20:00,24.1,No precipitation
02.11.2023 17:00,28.5,No precipitation
02.11.2023 14:00,29.3,No precipitation
02.11.2023 11:00,26.9,No precipitation
02.11.2023 08:00,21.0,No precipitation
02.11.2023 05:00,19.8,No precipitation
02.11.2023 02:00,22.7,No precipitation
01.11.2023 23:00,21.5,No precipitation
01.11.2023 20:00,24.5,No precipitation
01.11.2023 17:00,27.7,No precipitation
01.11.2023 14:00,28.9,No precipitation
01.11.2023 11:00,27.8,No precipitation
01.11.2023 08:00,16.9,No precipitation
01.11.2023 05:00,15.3,No precipitation
01.11.2023 02:00,17.2,No precipitation
31.10.2023 23:00,22.1,No precipitation
31.10.2023 20:00,20.8,No precipitation
31.10.2023 17:00,27.1,No precipitation
31.10.2023 14:00,29.3,No precipitation
31.10.2023 11:00,26.4,No precipitation
31.10.2023 08:00,15.2,No precipitation
31.10.2023 05:00,13.3,No precipitation
31.10.2023 02:00,14.6,No precipitation
30.10.2023 23:00,16.0,No precipitation
30.10.2023 20:00,18.0,No precipitation
30.10.2023 17:00,26.9,No precipitation
30.10.2023 14:00,28.2,No precipitation
30.10.2023 11:00,24.9,No precipitation
30.10.2023 08:00,14.4,No precipitation
30.10.2023 05:00,12.3,No precipitation
30.10.2023 02:00,13.7,No precipitation
29.10.2023 23:00,21.7,No precipitation
29.10.2023 20:00,21.9,No precipitation
29.10.2023 17:00,26.5,No precipitation
29.10.2023 14:00,27.4,No precipitation
29.10.2023 11:00,24.4,No precipitation
29.10.2023 08:00,13.1,No precipitation
29.10.2023 05:00,11.1,No precipitation
29.10.2023 02:00,12.5,No precipitation
28.10.2023 23:00,14.2,No precipitation
28.10.2023 20:00,17.1,No precipitation
28.10.2023 17:00,25.9,No precipitation
28.10.2023 14:00,27.5,No precipitation
28.10.2023 11:00,23.3,No precipitation
28.10.2023 08:00,12.4,No precipitation
28.10.2023 05:00,11.7,No precipitation
28.10.2023 02:00,12.8,No precipitation
27.10.2023 23:00,15.2,No precipitation
27.10.2023 20:00,16.8,No precipitation
27.10.2023 17:00,22.7,No precipitation
27.10.2023 14:00,23.1,No precipitation
27.10.2023 11:00,20.9,0.2
27.10.2023 08:00,13.5,No precipitation
27.10.2023 05:00,15.6,No precipitation
27.10.2023 02:00,16.0,No precipitation
26.10.2023 23:00,19.4,No precipitation
26.10.2023 20:00,21.2,No precipitation
26.10.2023 17:00,26.4,No precipitation
26.10.2023 14:00,27.8,No precipitation
26.10.2023 11:00,25.7,No precipitation
26.10.2023 08:00,20.4,No precipitation
26.10.2023 05:00,19.9,No precipitation
26.10.2023 02:00,20.5,No precipitation
25.10.2023 23:00,15.3,No precipitation
25.10.2023 20:00,18.7,No precipitation
25.10.2023 17:00,27.0,No precipitation
25.10.2023 14:00,29.9,No precipitation
25.10.2023 11:00,26.6,No precipitation
25.10.2023 08:00,14.9,No precipitation
25.10.2023 05:00,12.4,No precipitation
25.10.2023 02:00,14.5,No precipitation
24.10.2023 23:00,18.0,No precipitation
24.10.2023 20:00,20.8,No precipitation
24.10.2023 17:00,27.1,No precipitation
24.10.2023 14:00,28.4,No precipitation
24.10.2023 11:00,24.4,No precipitation
24.10.2023 08:00,14.7,No precipitation
24.10.2023 05:00,12.0,No precipitation
24.10.2023 02:00,13.4,No precipitation
23.10.2023 23:00,15.2,No precipitation
23.10.2023 20:00,19.1,No precipitation
23.10.2023 17:00,22.8,No precipitation
23.10.2023 14:00,24.5,No precipitation
23.10.2023 11:00,22.2,No precipitation
23.10.2023 08:00,13.7,No precipitation
23.10.2023 05:00,11.0,No precipitation
23.10.2023 02:00,12.3,No precipitation
22.10.2023 23:00,14.0,No precipitation
22.10.2023 20:00,18.9,No precipitation
22.10.2023 17:00,24.3,No precipitation
22.10.2023 14:00,25.2,No precipitation
22.10.2023 11:00,22.4,No precipitation
22.10.2023 08:00,13.1,No precipitation
22.10.2023 05:00,9.6,No precipitation
22.10.2023 02:00,11.1,No precipitation
21.10.2023 23:00,15.0,No precipitation
21.10.2023 20:00,19.7,No precipitation
21.10.2023 17:00,22.1,No precipitation
21.10.2023 14:00,22.9,No precipitation
21.10.2023 11:00,19.7,No precipitation
21.10.2023 08:00,11.4,No precipitation
21.10.2023 05:00,8.3,No precipitation
21.10.2023 02:00,9.5,No precipitation
20.10.2023 23:00,10.4,No precipitation
20.10.2023 20:00,12.9,No precipitation
20.10.2023 17:00,19.4,No precipitation
20.10.2023 14:00,19.3,No precipitation
20.10.2023 11:00,16.7,No precipitation
20.10.2023 08:00,13.2,No precipitation
20.10.2023 05:00,10.2,No precipitation
20.10.2023 02:00,11.5,No precipitation
19.10.2023 23:00,12.1,1
19.10.2023 20:00,13.9,1
19.10.2023 17:00,16.7,1
19.10.2023 14:00,16.5,1
19.10.2023 11:00,17.6,1
19.10.2023 08:00,17.2,2
19.10.2023 05:00,16.8,2
19.10.2023 02:00,17.1,2
18.10.2023 23:00,17.3,0.7
18.10.2023 20:00,19.9,0.1
18.10.2023 17:00,22.7,No precipitation
18.10.2023 14:00,23.6,No precipitation
18.10.2023 11:00,23.2,No precipitation
18.10.2023 08:00,20.1,0.1
18.10.2023 05:00,19.9,0.1
18.10.2023 02:00,19.7,0.1
17.10.2023 23:00,20.0,0.1
17.10.2023 20:00,20.5,No precipitation
17.10.2023 17:00,24.9,No precipitation
17.10.2023 14:00,26.3,No precipitation
17.10.2023 11:00,23.8,No precipitation
17.10.2023 08:00,14.8,No precipitation
17.10.2023 05:00,12.6,No precipitation
17.10.2023 02:00,13.6,No precipitation
16.10.2023 23:00,14.6,No precipitation
16.10.2023 20:00,16.8,No precipitation
16.10.2023 17:00,24.7,No precipitation
16.10.2023 14:00,24.9,No precipitation
16.10.2023 11:00,21.8,No precipitation
16.10.2023 08:00,17.8,No precipitation
16.10.2023 05:00,12.3,No precipitation
16.10.2023 02:00,13.0,No precipitation
15.10.2023 23:00,14.4,No precipitation
15.10.2023 20:00,16.8,No precipitation
15.10.2023 17:00,29.0,No precipitation
15.10.2023 14:00,28.4,No precipitation
15.10.2023 11:00,25.8,No precipitation
15.10.2023 08:00,21.2,No precipitation
15.10.2023 05:00,16.8,No precipitation
15.10.2023 02:00,12.4,No precipitation
14.10.2023 23:00,14.2,No precipitation
14.10.2023 20:00,16.4,No precipitation
14.10.2023 17:00,26.4,No precipitation
14.10.2023 14:00,26.1,No precipitation
14.10.2023 11:00,23.7,No precipitation
14.10.2023 08:00,18.9,No precipitation
14.10.2023 05:00,19.2,No precipitation
14.10.2023 02:00,16.8,No precipitation
13.10.2023 23:00,14.9,No precipitation
13.10.2023 20:00,17.0,No precipitation
13.10.2023 17:00,24.4,No precipitation
13.10.2023 14:00,24.5,No precipitation
13.10.2023 11:00,22.0,No precipitation
13.10.2023 08:00,14.1,No precipitation
13.10.2023 05:00,11.3,No precipitation
13.10.2023 02:00,11.9,No precipitation
12.10.2023 23:00,13.0,No precipitation
12.10.2023 20:00,15.3,No precipitation
12.10.2023 17:00,20.2,No precipitation
12.10.2023 14:00,20.1,No precipitation
12.10.2023 11:00,18.3,No precipitation
12.10.2023 08:00,16.7,No precipitation
12.10.2023 05:00,13.7,No precipitation
12.10.2023 02:00,16.2,No precipitation
11.10.2023 23:00,16.3,No precipitation
11.10.2023 20:00,17.4,No precipitation
11.10.2023 17:00,22.4,No precipitation
11.10.2023 14:00,23.7,No precipitation
11.10.2023 11:00,22.8,2
11.10.2023 08:00,14.4,No precipitation
11.10.2023 05:00,11.6,No precipitation
11.10.2023 02:00,12.7,No precipitation
10.10.2023 23:00,14.1,No precipitation
10.10.2023 20:00,15.8,No precipitation
10.10.2023 17:00,23.4,No precipitation
10.10.2023 14:00,23.7,No precipitation
10.10.2023 11:00,21.5,No precipitation
